"retailer","city","country","latitude","longitude","freq"
"H&M","","Italy","45.30731","10.45273",1
"H&M","","Italy","45.3391","9.55219",1
"H&M","","Italy","45.3642","9.61875",1
"H&M","","Italy","45.40191","10.29132",1
"H&M","","Italy","45.52014","10.30364",1
"H&M","","Italy","45.5401","9.63751",1
"H&M","","Italy","45.56771","9.36249",1
"H&M","","Italy","45.598842","9.134687",1
"H&M","","Italy","45.60185","9.93779",1
"H&M","","Italy","45.613614","9.224307",1
"H&M","","Italy","45.621","10.11803",1
"H&M","","Italy","45.6284","9.88496",1
"H&M","","Italy","45.70375","9.594546",1
"H&M","","Italy","45.73059","8.88218",1
"H&M","","Italy","45.77188","9.02253",1
"H&M","","Italy","45.8392169","9.0594827",1
"H&M","","Latvia","56.94215","24.0564",1
"H&M","","Netherlands","51.3636","5.175065",1
"H&M","","Netherlands","51.454667","5.392698",1
"H&M","","Pakistan","24.8295346","67.0848108",1
"H&M","","Pakistan","24.8466615","67.14306859999999",1
"H&M","","Pakistan","24.8548","67.067",1
"H&M","","Pakistan","24.893379","67.0280609",7
"H&M","","Poland","53.167388","15.424992",1
"H&M","","Portugal","39.2822","-9.03998",1
"H&M","","Portugal","40.81449","-8.48014",1
"H&M","","Portugal","40.94037","-8.45172",1
"H&M","","Portugal","41.32727","-8.22948",1
"H&M","","Portugal","41.379538","-8.436934",1
"H&M","","Portugal","41.38356","-8.48849",1
"H&M","","Portugal","41.39257","-8.24877",1
"H&M","","Portugal","41.4222","-8.64699",1
"H&M","","Portugal","41.43392","-8.54747",1
"H&M","","Portugal","41.48908","-8.7303",1
"H&M","","Portugal","41.50357","-8.62037",1
"H&M","","Portugal","41.52132","-8.61791",1
"H&M","","Portugal","41.52358","-8.64795",1
"H&M","","Portugal","41.5306","-8.6212",1
"H&M","","Portugal","41.5309169","-8.7805652",1
"H&M","","Portugal","41.561895","-8.648826",1
"H&M","","Portugal","41.57564","-8.51967",1
"H&M","","Portugal","41.59839","-8.6224",1
"H&M","","Romania","41.884472","12.661084",1
"H&M","","Romania","43.6584881","25.3641808",1
"H&M","","Romania","43.95858","25.34541",1
"H&M","","Romania","44.08032","26.62892",1
"H&M","","Romania","44.1133","24.36401",1
"H&M","","Romania","44.317285","23.799688",1
"H&M","","Romania","44.41025","26.06675",1
